행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
장안구,영화동,15∼19세,875,799,661,,,
장안구,영화동,20∼24세,1246,1184,1164,5728,5396,5229
장안구,영화동,25∼29세,1575,1566,1570,,,
장안구,영화동,30∼34세,1327,1229,1169,,,
장안구,영화동,35∼39세,1580,1417,1326,,,
장안구,영화동,40∼44세,1411,1363,1329,7458,7233,6929
장안구,영화동,45∼49세,1795,1728,1604,,,
장안구,영화동,50∼54세,1979,1906,1889,,,
장안구,영화동,55∼59세,2273,2236,2107,,,
장안구,영화동,60∼64세,1803,1924,2048,5388,5712,6105
장안구,영화동,65∼69세,1224,1312,1451,,,
장안구,영화동,70∼74 세,974,1027,1048,,,
장안구,영화동,75∼79세,692,689,732,,,
장안구,영화동,80∼84세,417,464,484,,,
장안구,영화동,85세이상,278,296,342,,,
장안구,송죽동,합계,20437,19907,19673,,,
장안구,송죽동,0∼4세,710,599,498,3400,3089,2885
장안구,송죽동,5∼9세,697,674,641,,,
장안구,송죽동,10∼14세,870,780,770,,,
장안구,송죽동,15∼19세,1123,1036,976,,,
장안구,송죽동,20∼24세,1491,1459,1385,6167,5876,5692
장안구,송죽동,25∼29세,1550,1604,1659,,,
장안구,송죽동,30∼34세,1467,1330,1268,,,
장안구,송죽동,35∼39세,1659,1483,1380,,,
장안구,송죽동,40∼44세,1482,1429,1402,7040,6842,6734
장안구,송죽동,45∼49세,1834,1732,1654,,,
장안구,송죽동,50∼54세,1859,1850,1838,,,
장안구,송죽동,55∼59세,1865,1831,1840,,,
장안구,송죽동,60∼64세,1397,1503,1581,3830,4100,4362
장안구,송죽동,65∼69세,814,880,944,,,
장안구,송죽동,70∼74 세,590,612,669,,,
장안구,송죽동,75∼79세,490,514,539,,,
장안구,송죽동,80∼84세,321,329,347,,,
장안구,송죽동,85세이상,218,262,282,,,
장안구,조원1동,합계,29998,29317,28771,,,
장안구,조원1동,0∼4세,823,703,592,5188,4727,4330
장안구,조원1동,5∼9세,1159,1007,924,,,
장안구,조원1동,10∼14세,1346,1278,1262,,,
장안구,조원1동,15∼19세,1860,1739,1552,,,
장안구,조원1동,20∼24세,2358,2211,2143,8216,7840,7597
장안구,조원1동,25∼29세,2217,2215,2199,,,
장안구,조원1동,30∼34세,1640,1616,1592,,,
장안구,조원1동,35∼39세,2001,1798,1663,,,
장안구,조원1동,40∼44세,2165,2028,1928,10490,10297,9994
장안구,조원1동,45∼49세,2846,2719,2569,,,
장안구,조원1동,50∼54세,2820,2845,2854,,,
장안구,조원1동,55∼59세,2659,2705,2643,,,
장안구,조원1동,60∼64세,1960,2094,2248,6104,6453,6850
장안구,조원1동,65∼69세,1242,1349,1490,,,
장안구,조원1동,70∼74 세,1020,1081,1092,,,
장안구,조원1동,75∼79세,847,861,891,,,
장안구,조원1동,80∼84세,591,591,607,,,
장안구,조원1동,85세이상,444,477,522,,,
장안구,조원2동,합계,19865,19461,19137,,,
장안구,조원2동,0∼4세,724,637,570,3981,3737,3509
장안구,조원2동,5∼9세,981,929,855,,,
장안구,조원2동,10∼14세,1005,992,1011,,,
장안구,조원2동,15∼19세,1271,1179,1073,,,
장안구,조원2동,20∼24세,1733,1575,1470,5444,5207,5026
장안구,조원2동,25∼29세,1476,1509,1517,,,
장안구,조원2동,30∼34세,976,959,949,,,
장안구,조원2동,35∼39세,1259,1164,1090,,,
장안구,조원2동,40∼44세,1364,1304,1281,7055,6913,6764
장안구,조원2동,45∼49세,1819,1727,1652,,,
장안구,조원2동,50∼54세,2079,2033,1938,,,
장안구,조원2동,55∼59세,1793,1849,1893,,,
장안구,조원2동,60∼64세,1090,1205,1328,3385,3604,3838
장안구,조원2동,65∼69세,619,665,716,,,
장안구,조원2동,70∼74 세,502,529,572,,,
장안구,조원2동,75∼79세,483,473,449,,,
장안구,조원2동,80∼84세,359,384,369,,,
장안구,조원2동,85세이상,332,348,404,,,
장안구,연무동,합계,18541,16523,16314,,,
장안구,연무동,0∼4세,424,346,320,2281,1894,1766
장안구,연무동,5∼9세,463,407,378,,,
장안구,연무동,10∼14세,548,467,477,,,
장안구,연무동,15∼19세,846,674,591,,,
장안구,연무동,20∼24세,1423,1280,1353,5107,4445,4461
장안구,연무동,25∼29세,1404,1217,1277,,,
장안구,연무동,30∼34세,1068,929,876,,,
장안구,연무동,35∼39세,1212,1019,955,,,
장안구,연무동,40∼44세,1084,982,970,6016,5260,4988
장안구,연무동,45∼49세,1519,1281,1186,,,
장안구,연무동,50∼54세,1626,1457,1396,,,
장안구,연무동,55∼59세,1787,1540,1436,,,
장안구,연무동,60∼64세,1575,1457,1463,5137,4924,5099
장안구,연무동,65∼69세,1058,1052,1153,,,
장안구,연무동,70∼74 세,895,839,848,,,
장안구,연무동,75∼79세,759,701,715,,,
장안구,연무동,80∼84세,446,470,482,,,
장안구,연무동,85세이상,404,405,438,,,
권선구,소계,합계,377647,371754,368645,,,
권선구,소계,0∼4세,18249,16274,14355,73440,69459,65991
권선구,소계,5∼9세,18686,18385,18157,,,
권선구,소계,10∼14세,16548,16178,16481,,,
권선구,소계,15∼19세,19957,18622,16998,,,
권선구,소계,20∼24세,26673,25534,24430,121172,116217,112666
권선구,소계,25∼29세,29824,29682,30073,,,
권선구,소계,30∼34세,28951,27449,26707,,,
권선구,소계,35∼39세,35724,33552,31456,,,
권선구,소계,40∼44세,30241,29832,30593,125457,124370,123776
권선구,소계,45∼49세,32680,31880,31092,,,
권선구,소계,50∼54세,32053,32095,31755,,,
권선구,소계,55∼59세,30483,30563,30336,,,
권선구,소계,60∼64세,21008,22939,24805,57578,61708,66212
권선구,소계,65∼69세,12587,13585,15171,,,
권선구,소계,70∼74 세,9258,9765,10223,,,
권선구,소계,75∼79세,7043,7090,7253,,,
권선구,소계,80∼84세,4471,4823,4953,,,
권선구,소계,85세이상,3211,3506,3807,,,
권선구,세류1동,합계,10876,10581,10438,,,
권선구,세류1동,0∼4세,580,523,485,1691,1582,1503
권선구,세류1동,5∼9세,412,400,402,,,
권선구,세류1동,10∼14세,277,266,278,,,
권선구,세류1동,15∼19세,422,393,338,,,
권선구,세류1동,20∼24세,791,715,660,3566,3324,3201
권선구,세류1동,25∼29세,829,832,825,,,
권선구,세류1동,30∼34세,882,817,785,,,
권선구,세류1동,35∼39세,1064,960,931,,,
권선구,세류1동,40∼44세,726,757,769,3465,3377,3361
권선구,세류1동,45∼49세,799,732,719,,,
권선구,세류1동,50∼54세,987,913,895,,,
권선구,세류1동,55∼59세,953,975,978,,,
권선구,세류1동,60∼64세,732,799,803,2154,2298,2373
권선구,세류1동,65∼69세,496,506,521,,,
권선구,세류1동,70∼74 세,358,393,420,,,
권선구,세류1동,75∼79세,270,269,275,,,
권선구,세류1동,80∼84세,182,188,191,,,
권선구,세류1동,85세이상,116,143,163,,,
권선구,세류2동,합계,25157,24065,23656,,,
