행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
팔달구,매산동,10∼14세,220,209,209,,,
팔달구,매산동,15∼19세,354,324,289,,,
팔달구,매산동,20∼24세,873,810,797,3748,3599,3548
팔달구,매산동,25∼29세,1077,1058,1083,,,
팔달구,매산동,30∼34세,873,865,828,,,
팔달구,매산동,35∼39세,925,866,840,,,
팔달구,매산동,40∼44세,672,666,691,3511,3400,3402
팔달구,매산동,45∼49세,831,790,751,,,
팔달구,매산동,50∼54세,954,944,982,,,
팔달구,매산동,55∼59세,1054,1000,978,,,
팔달구,매산동,60∼64세,838,878,935,2532,2660,2814
팔달구,매산동,65∼69세,590,627,660,,,
팔달구,매산동,70∼74 세,412,430,474,,,
팔달구,매산동,75∼79세,336,346,351,,,
팔달구,매산동,80∼84세,208,230,237,,,
팔달구,매산동,85세이상,148,149,157,,,
팔달구,고등동,합계,9609,9263,9191,,,
팔달구,고등동,0∼4세,198,197,144,1122,1047,914
팔달구,고등동,5∼9세,241,207,190,,,
팔달구,고등동,10∼14세,296,274,269,,,
팔달구,고등동,15∼19세,387,369,311,,,
팔달구,고등동,20∼24세,585,527,530,2508,2285,2323
팔달구,고등동,25∼29세,660,627,682,,,
팔달구,고등동,30∼34세,596,551,556,,,
팔달구,고등동,35∼39세,667,580,555,,,
팔달구,고등동,40∼44세,660,604,593,3327,3196,3060
팔달구,고등동,45∼49세,831,826,718,,,
팔달구,고등동,50∼54세,870,827,849,,,
팔달구,고등동,55∼59세,966,939,900,,,
팔달구,고등동,60∼64세,824,828,852,2652,2735,2894
팔달구,고등동,65∼69세,576,609,670,,,
팔달구,고등동,70∼74 세,511,522,530,,,
팔달구,고등동,75∼79세,404,385,422,,,
팔달구,고등동,80∼84세,191,229,241,,,
팔달구,고등동,85세이상,146,162,179,,,
팔달구,화서1동,합계,24487,23594,23268,,,
팔달구,화서1동,0∼4세,761,668,613,4292,3923,3708
팔달구,화서1동,5∼9세,1028,934,901,,,
팔달구,화서1동,10∼14세,1066,987,982,,,
팔달구,화서1동,15∼19세,1437,1334,1212,,,
팔달구,화서1동,20∼24세,1798,1716,1626,6514,6079,5832
팔달구,화서1동,25∼29세,1590,1514,1566,,,
팔달구,화서1동,30∼34세,1281,1194,1184,,,
팔달구,화서1동,35∼39세,1845,1655,1456,,,
팔달구,화서1동,40∼44세,1894,1760,1712,8506,8199,8047
팔달구,화서1동,45∼49세,2333,2213,2175,,,
팔달구,화서1동,50∼54세,2065,2092,2116,,,
팔달구,화서1동,55∼59세,2214,2134,2044,,,
팔달구,화서1동,60∼64세,1665,1763,1848,5175,5393,5681
팔달구,화서1동,65∼69세,1184,1217,1288,,,
팔달구,화서1동,70∼74 세,908,953,1030,,,
팔달구,화서1동,75∼79세,702,729,744,,,
팔달구,화서1동,80∼84세,423,423,454,,,
팔달구,화서1동,85세이상,293,308,317,,,
팔달구,화서2동,합계,27933,27271,26802,,,
팔달구,화서2동,0∼4세,1130,1012,867,5807,5418,5030
팔달구,화서2동,5∼9세,1251,1212,1142,,,
팔달구,화서2동,10∼14세,1502,1390,1356,,,
팔달구,화서2동,15∼19세,1924,1804,1665,,,
팔달구,화서2동,20∼24세,2242,2124,2060,8074,7816,7575
팔달구,화서2동,25∼29세,2058,2049,2068,,,
팔달구,화서2동,30∼34세,1708,1663,1695,,,
팔달구,화서2동,35∼39세,2066,1980,1752,,,
팔달구,화서2동,40∼44세,2278,2056,2000,10073,9836,9699
팔달구,화서2동,45∼49세,2718,2664,2546,,,
팔달구,화서2동,50∼54세,2739,2693,2723,,,
팔달구,화서2동,55∼59세,2338,2423,2430,,,
팔달구,화서2동,60∼64세,1351,1473,1629,3979,4201,4498
팔달구,화서2동,65∼69세,831,866,974,,,
팔달구,화서2동,70∼74 세,640,660,664,,,
팔달구,화서2동,75∼79세,540,563,552,,,
팔달구,화서2동,80∼84세,394,391,406,,,
팔달구,화서2동,85세이상,223,248,273,,,
팔달구,지동,합계,13125,11836,11306,,,
팔달구,지동,0∼4세,246,196,171,1534,1281,1139
팔달구,지동,5∼9세,335,281,247,,,
팔달구,지동,10∼14세,386,336,326,,,
팔달구,지동,15∼19세,567,468,395,,,
팔달구,지동,20∼24세,756,655,618,3139,2724,2560
팔달구,지동,25∼29세,826,730,739,,,
팔달구,지동,30∼34세,707,643,601,,,
팔달구,지동,35∼39세,850,696,602,,,
팔달구,지동,40∼44세,939,794,745,4552,4009,3761
팔달구,지동,45∼49세,1127,978,900,,,
팔달구,지동,50∼54세,1161,1046,1045,,,
팔달구,지동,55∼59세,1325,1191,1071,,,
팔달구,지동,60∼64세,1258,1208,1176,3900,3822,3846
팔달구,지동,65∼69세,838,848,874,,,
팔달구,지동,70∼74 세,685,682,686,,,
팔달구,지동,75∼79세,582,540,520,,,
팔달구,지동,80∼84세,333,329,342,,,
팔달구,지동,85세이상,204,215,248,,,
팔달구,우만1동,합계,21448,21102,20471,,,
팔달구,우만1동,0∼4세,615,495,410,2988,2649,2307
팔달구,우만1동,5∼9세,587,546,489,,,
팔달구,우만1동,10∼14세,675,640,602,,,
팔달구,우만1동,15∼19세,1111,968,806,,,
팔달구,우만1동,20∼24세,1494,1446,1373,6568,6349,6179
팔달구,우만1동,25∼29세,1855,1836,1884,,,
팔달구,우만1동,30∼34세,1581,1527,1507,,,
팔달구,우만1동,35∼39세,1638,1540,1415,,,
팔달구,우만1동,40∼44세,1501,1408,1315,7192,7081,6694
팔달구,우만1동,45∼49세,1898,1852,1702,,,
팔달구,우만1동,50∼54세,1888,1858,1830,,,
팔달구,우만1동,55∼59세,1905,1963,1847,,,
팔달구,우만1동,60∼64세,1505,1633,1682,4700,5023,5291
팔달구,우만1동,65∼69세,1037,1094,1247,,,
팔달구,우만1동,70∼74 세,860,917,930,,,
팔달구,우만1동,75∼79세,645,698,712,,,
팔달구,우만1동,80∼84세,392,401,422,,,
팔달구,우만1동,85세이상,261,280,298,,,
팔달구,우만2동,합계,17818,17415,17242,,,
팔달구,우만2동,0∼4세,655,549,468,3533,3274,3002
팔달구,우만2동,5∼9세,813,765,715,,,
팔달구,우만2동,10∼14세,855,803,776,,,
팔달구,우만2동,15∼19세,1210,1157,1043,,,
팔달구,우만2동,20∼24세,1667,1665,1764,5985,5837,5861
팔달구,우만2동,25∼29세,1785,1848,1902,,,
팔달구,우만2동,30∼34세,1211,1164,1142,,,
팔달구,우만2동,35∼39세,1322,1160,1053,,,
팔달구,우만2동,40∼44세,1351,1306,1270,5683,5536,5477
팔달구,우만2동,45∼49세,1647,1537,1490,,,
팔달구,우만2동,50∼54세,1407,1403,1448,,,
팔달구,우만2동,55∼59세,1278,1290,1269,,,
팔달구,우만2동,60∼64세,942,1019,1037,2617,2768,2902
팔달구,우만2동,65∼69세,554,592,668,,,
팔달구,우만2동,70∼74 세,428,437,449,,,
팔달구,우만2동,75∼79세,333,337,338,,,
팔달구,우만2동,80∼84세,195,220,232,,,
팔달구,우만2동,85세이상,165,163,178,,,
팔달구,인계동,합계,37844,37853,39069,,,
팔달구,인계동,0∼4세,1281,1027,969,5775,5290,5017
팔달구,인계동,5∼9세,1426,1363,1232,,,
팔달구,인계동,10∼14세,1446,1338,1320,,,
팔달구,인계동,15∼19세,1622,1562,1496,,,
팔달구,인계동,20∼24세,2673,2739,2815,13974,14244,15158
팔달구,인계동,25∼29세,4034,4465,5058,,,
팔달구,인계동,30∼34세,3623,3651,3835,,,
팔달구,인계동,35∼39세,3644,3389,3450,,,
팔달구,인계동,40∼44세,3183,3128,3095,12176,12057,12125
팔달구,인계동,45∼49세,3315,3262,3268,,,
팔달구,인계동,50∼54세,2845,2878,3036,,,
팔달구,인계동,55∼59세,2833,2789,2726,,,
팔달구,인계동,60∼64세,2165,2290,2419,5919,6262,6769
팔달구,인계동,65∼69세,1292,1401,1600,,,
팔달구,인계동,70∼74 세,977,985,1058,,,
팔달구,인계동,75∼79세,727,749,779,,,
팔달구,인계동,80∼84세,449,491,528,,,
팔달구,인계동,85세이상,309,346,385,,,
영통구,소계,합계,356112,368468,368842,,,
영통구,소계,0∼4세,18086,17599,15529,82386,82790,79137
영통구,소계,5∼9세,20634,21498,21249,,,
영통구,소계,10∼14세,20552,20901,21365,,,
영통구,소계,15∼19세,23114,22792,20994,,,
영통구,소계,20∼24세,26380,26435,26467,120554,123308,122181
영통구,소계,25∼29세,30938,32401,32656,,,
영통구,소계,30∼34세,28769,30063,30161,,,
영통구,소계,35∼39세,34467,34409,32897,,,
영통구,소계,40∼44세,32217,33694,34165,116601,121703,123108
영통구,소계,45∼49세,34527,34911,34349,,,
영통구,소계,50∼54세,27364,29182,30238,,,
영통구,소계,55∼59세,22493,23916,24356,,,
영통구,소계,60∼64세,13653,15722,17381,36571,40667,44416
영통구,소계,65∼69세,7780,8546,9750,,,
영통구,소계,70∼74 세,5591,6180,6592,,,
영통구,소계,75∼79세,4465,4690,4803,,,
영통구,소계,80∼84세,2923,3137,3253,,,
영통구,소계,85세이상,2159,2392,2637,,,
영통구,매탄1동,합계,19767,18961,18335,,,
영통구,매탄1동,0∼4세,693,564,476,3835,3422,3078
영통구,매탄1동,5∼9세,837,749,683,,,
영통구,매탄1동,10∼14세,996,876,799,,,
영통구,매탄1동,15∼19세,1309,1233,1120,,,
영통구,매탄1동,20∼24세,1605,1540,1490,6144,5846,5537
영통구,매탄1동,25∼29세,1717,1712,1646,,,
영통구,매탄1동,30∼34세,1257,1185,1128,,,
영통구,매탄1동,35∼39세,1565,1409,1273,,,
영통구,매탄1동,40∼44세,1562,1429,1349,6788,6561,6335
영통구,매탄1동,45∼49세,1925,1816,1652,,,
영통구,매탄1동,50∼54세,1750,1751,1786,,,
영통구,매탄1동,55∼59세,1551,1565,1548,,,
영통구,매탄1동,60∼64세,1092,1190,1251,3000,3132,3385
영통구,매탄1동,65∼69세,676,694,831,,,
영통구,매탄1동,70∼74 세,497,533,560,,,
영통구,매탄1동,75∼79세,362,337,346,,,
영통구,매탄1동,80∼84세,221,217,222,,,
영통구,매탄1동,85세이상,152,161,175,,,
영통구,매탄2동,합계,15789,15388,15162,,,
영통구,매탄2동,0∼4세,525,449,359,2996,2684,2443
영통구,매탄2동,5∼9세,619,569,556,,,
영통구,매탄2동,10∼14세,790,735,687,,,
영통구,매탄2동,15∼19세,1062,931,841,,,
영통구,매탄2동,20∼24세,1197,1162,1161,4620,4560,4464
영통구,매탄2동,25∼29세,1270,1360,1344,,,
영통구,매탄2동,30∼34세,962,971,956,,,
영통구,매탄2동,35∼39세,1191,1067,1003,,,
영통구,매탄2동,40∼44세,1213,1123,1099,5521,5323,5221
영통구,매탄2동,45∼49세,1555,1429,1341,,,
영통구,매탄2동,50∼54세,1400,1436,1457,,,
영통구,매탄2동,55∼59세,1353,1335,1324,,,
영통구,매탄2동,60∼64세,961,1033,1121,2652,2821,3034
영통구,매탄2동,65∼69세,561,584,651,,,
영통구,매탄2동,70∼74 세,427,463,483,,,
영통구,매탄2동,75∼79세,331,342,367,,,
영통구,매탄2동,80∼84세,210,223,225,,,
영통구,매탄2동,85세이상,162,176,187,,,
영통구,매탄3동,합계,37649,36568,36279,,,
영통구,매탄3동,0∼4세,1386,1223,1112,8337,7766,7365
영통구,매탄3동,5∼9세,2108,1929,1801,,,
영통구,매탄3동,10∼14세,2208,2094,2129,,,
영통구,매탄3동,15∼19세,2635,2520,2323,,,
영통구,매탄3동,20∼24세,3103,2905,2838,12856,12266,11952
영통구,매탄3동,25∼29세,3785,3683,3646,,,
영통구,매탄3동,30∼34세,2787,2784,2716,,,
영통구,매탄3동,35∼39세,3181,2894,2752,,,
영통구,매탄3동,40∼44세,3418,3256,3225,12595,12381,12422
영통구,매탄3동,45∼49세,3839,3620,3598,,,
영통구,매탄3동,50∼54세,2947,3091,3186,,,
영통구,매탄3동,55∼59세,2391,2414,2413,,,
영통구,매탄3동,60∼64세,1438,1592,1758,3861,4155,4540
영통구,매탄3동,65∼69세,800,862,970,,,
영통구,매탄3동,70∼74 세,585,628,699,,,
영통구,매탄3동,75∼79세,463,465,460,,,
영통구,매탄3동,80∼84세,334,335,348,,,
영통구,매탄3동,85세이상,241,273,305,,,
영통구,매탄4동,합계,23394,22512,22021,,,
영통구,매탄4동,0∼4세,918,768,617,4555,4098,3639
영통구,매탄4동,5∼9세,907,799,751,,,
영통구,매탄4동,10∼14세,1134,1031,970,,,
영통구,매탄4동,15∼19세,1596,1500,1301,,,
영통구,매탄4동,20∼24세,1892,1778,1755,7543,7091,6989
영통구,매탄4동,25∼29세,1991,2014,2014,,,
영통구,매탄4동,30∼34세,1783,1675,1687,,,
영통구,매탄4동,35∼39세,1877,1624,1533,,,
영통구,매탄4동,40∼44세,1866,1790,1674,7973,7735,7521
영통구,매탄4동,45∼49세,2294,2180,2071,,,
영통구,매탄4동,50∼54세,1974,1980,2034,,,
영통구,매탄4동,55∼59세,1839,1785,1742,,,
영통구,매탄4동,60∼64세,1224,1370,1471,3323,3588,3872
영통구,매탄4동,65∼69세,704,769,876,,,
영통구,매탄4동,70∼74 세,495,513,561,,,
영통구,매탄4동,75∼79세,389,415,431,,,
영통구,매탄4동,80∼84세,294,304,289,,,
영통구,매탄4동,85세이상,217,217,244,,,
영통구,원천동,합계,28920,38545,39135,,,
영통구,원천동,0∼4세,1572,2106,1850,5677,8226,8086
영통구,원천동,5∼9세,1600,2591,2651,,,
영통구,원천동,10∼14세,1162,1807,2009,,,
영통구,원천동,15∼19세,1343,1722,1576,,,
영통구,원천동,20∼24세,2316,2793,2720,11766,14424,14048
영통구,원천동,25∼29세,3163,3687,3815,,,
영통구,원천동,30∼34세,2958,3600,3455,,,
영통구,원천동,35∼39세,3329,4344,4058,,,
영통구,원천동,40∼44세,2554,3788,4005,8062,11436,12042
영통구,원천동,45∼49세,2178,3064,3265,,,
영통구,원천동,50∼54세,1753,2437,2575,,,
영통구,원천동,55∼59세,1577,2147,2197,,,
영통구,원천동,60∼64세,1295,1697,1831,3415,4459,4959
영통구,원천동,65∼69세,774,983,1179,,,
영통구,원천동,70∼74 세,527,704,761,,,
영통구,원천동,75∼79세,400,510,542,,,
영통구,원천동,80∼84세,248,316,355,,,
영통구,원천동,85세이상,171,249,291,,,
영통구,광교1동,합계,52391,52131,53205,,,
영통구,광교1동,0∼4세,2716,2412,2123,13616,12955,12490
영통구,광교1동,5∼9세,3736,3591,3510,,,
영통구,광교1동,10∼14세,3713,3617,3706,,,
영통구,광교1동,15∼19세,3451,3335,3151,,,
영통구,광교1동,20∼24세,3383,3412,3654,17486,17337,17982
영통구,광교1동,25∼29세,4325,4525,4796,,,
영통구,광교1동,30∼34세,4348,4353,4610,,,
영통구,광교1동,35∼39세,5430,5047,4922,,,
영통구,광교1동,40∼44세,5517,5427,5535,17227,17460,17976
영통구,광교1동,45∼49세,5328,5241,5261,,,
영통구,광교1동,50∼54세,3606,3851,4139,,,
영통구,광교1동,55∼59세,2776,2941,3041,,,
영통구,광교1동,60∼64세,1565,1751,1974,4062,4379,4757
영통구,광교1동,65∼69세,927,975,1022,,,
영통구,광교1동,70∼74 세,604,645,717,,,
영통구,광교1동,75∼79세,437,465,482,,,
영통구,광교1동,80∼84세,293,310,306,,,
영통구,광교1동,85세이상,236,233,256,,,
영통구,광교2동,합계,28249,27979,29057,,,
영통구,광교2동,0∼4세,1854,1624,1502,6896,6528,6443
영통구,광교2동,5∼9세,2090,1972,1948,,,
영통구,광교2동,10∼14세,1516,1528,1610,,,
영통구,광교2동,15∼19세,1436,1404,1383,,,
영통구,광교2동,20∼24세,1492,1449,1552,8762,8459,8618
영통구,광교2동,25∼29세,1486,1581,1653,,,
영통구,광교2동,30∼34세,2171,2100,2148,,,
영통구,광교2동,35∼39세,3613,3329,3265,,,
영통구,광교2동,40∼44세,2703,2773,2998,8904,9060,9637
영통구,광교2동,45∼49세,2394,2434,2522,,,
영통구,광교2동,50∼54세,1959,2002,2190,,,
영통구,광교2동,55∼59세,1848,1851,1927,,,
영통구,광교2동,60∼64세,1318,1441,1592,3687,3932,4359
영통구,광교2동,65∼69세,857,901,1055,,,
영통구,광교2동,70∼74 세,609,654,714,,,
영통구,광교2동,75∼79세,461,458,457,,,
영통구,광교2동,80∼84세,248,271,302,,,
영통구,광교2동,85세이상,194,207,239,,,
영통구,영통1동,합계,36348,36509,35948,,,
영통구,영통1동,0∼4세,2079,1823,1542,9436,9078,8562
영통구,영통1동,5∼9세,2208,2140,2117,,,
영통구,영통1동,10∼14세,2460,2507,2483,,,
영통구,영통1동,15∼19세,2689,2608,2420,,,
영통구,영통1동,20∼24세,2539,2507,2424,10946,10695,10453
영통구,영통1동,25∼29세,2336,2484,2503,,,
영통구,영통1동,30∼34세,2719,2645,2589,,,
영통구,영통1동,35∼39세,3352,3059,2937,,,
영통구,영통1동,40∼44세,3379,3411,3350,12646,12992,12862
영통구,영통1동,45∼49세,3947,3966,3822,,,
영통구,영통1동,50∼54세,3001,3164,3149,,,
영통구,영통1동,55∼59세,2319,2451,2541,,,
영통구,영통1동,60∼64세,1189,1396,1629,3320,3744,4071
영통구,영통1동,65∼69세,668,751,794,,,
영통구,영통1동,70∼74 세,507,549,553,,,
영통구,영통1동,75∼79세,439,468,484,,,
영통구,영통1동,80∼84세,297,347,361,,,
영통구,영통1동,85세이상,220,233,250,,,
영통구,영통2동,합계,27699,26631,26744,,,
영통구,영통2동,0∼4세,1866,1573,1442,5655,5058,4798
영통구,영통2동,5∼9세,1324,1188,1175,,,
영통구,영통2동,10∼14세,1093,1045,1067,,,
영통구,영통2동,15∼19세,1372,1252,1114,,,
영통구,영통2동,20∼24세,1769,1703,1663,12986,12397,12424
영통구,영통2동,25∼29세,4198,4107,3982,,,
영통구,영통2동,30∼34세,3848,3743,3961,,,
영통구,영통2동,35∼39세,3171,2844,2818,,,
영통구,영통2동,40∼44세,2257,2198,2242,7291,7236,7394
영통구,영통2동,45∼49세,2167,2083,2016,,,
영통구,영통2동,50∼54세,1693,1709,1816,,,
영통구,영통2동,55∼59세,1174,1246,1320,,,
영통구,영통2동,60∼64세,610,706,796,1767,1940,2128
영통구,영통2동,65∼69세,331,347,418,,,
영통구,영통2동,70∼74 세,282,311,313,,,
영통구,영통2동,75∼79세,270,279,276,,,
영통구,영통2동,80∼84세,166,170,185,,,
영통구,영통2동,85세이상,108,127,140,,,
영통구,영통3동,합계,33409,32993,32908,,,
영통구,영통3동,0∼4세,1339,1184,1040,7767,7359,6968
영통구,영통3동,5∼9세,1737,1670,1590,,,
영통구,영통3동,10∼14세,2135,2035,2121,,,
영통구,영통3동,15∼19세,2556,2470,2217,,,
영통구,영통3동,20∼24세,3182,3128,3284,10899,10799,10932
영통구,영통3동,25∼29세,3039,3121,3196,,,
영통구,영통3동,30∼34세,2181,2232,2252,,,
영통구,영통3동,35∼39세,2497,2318,2200,,,
영통구,영통3동,40∼44세,2981,2835,2746,11803,11623,11501
영통구,영통3동,45∼49세,3640,3500,3373,,,
영통구,영통3동,50∼54세,2939,2950,2984,,,
영통구,영통3동,55∼59세,2243,2338,2398,,,
영통구,영통3동,60∼64세,1165,1340,1484,2940,3212,3507
영통구,영통3동,65∼69세,525,581,685,,,
영통구,영통3동,70∼74 세,423,440,454,,,
영통구,영통3동,75∼79세,356,355,359,,,
영통구,영통3동,80∼84세,266,263,279,,,
영통구,영통3동,85세이상,205,233,246,,,
영통구,망포1동,합계,-,32002,31693,,,
영통구,망포1동,0∼4세,-,1681,1521,0,7933,7645
영통구,망포1동,5∼9세,-,2013,2020,,,
영통구,망포1동,10∼14세,-,2026,2063,,,
영통구,망포1동,15∼19세,-,2213,2041,,,
영통구,망포1동,20∼24세,-,2335,2253,0,9821,9588
영통구,망포1동,25∼29세,-,2357,2329,,,
영통구,망포1동,30∼34세,-,2215,2232,,,
영통구,망포1동,35∼39세,-,2914,2774,,,
영통구,망포1동,40∼44세,-,2863,2881,0,11120,11036
영통구,망포1동,45∼49세,-,3162,3000,,,
영통구,망포1동,50∼54세,-,2815,2831,,,
영통구,망포1동,55∼59세,-,2280,2324,,,
영통구,망포1동,60∼64세,-,1284,1418,0,3128,3424
영통구,망포1동,65∼69세,-,655,778,,,
영통구,망포1동,70∼74 세,-,443,462,,,
영통구,망포1동,75∼79세,-,362,369,,,
영통구,망포1동,80∼84세,-,210,215,,,
영통구,망포1동,85세이상,-,174,182,,,
영통구,망포2동,합계,-,28249,28355,,,
영통구,망포2동,0∼4세,-,2192,1945,0,7683,7620
영통구,망포2동,5∼9세,-,2287,2447,,,
영통구,망포2동,10∼14세,-,1600,1721,,,
영통구,망포2동,15∼19세,-,1604,1507,,,
영통구,망포2동,20∼24세,-,1723,1673,0,9613,9194
영통구,망포2동,25∼29세,-,1770,1732,,,
영통구,망포2동,30∼34세,-,2560,2427,,,
영통구,망포2동,35∼39세,-,3560,3362,,,
영통구,망포2동,40∼44세,-,2801,3061,0,8776,9161
영통구,망포2동,45∼49세,-,2416,2428,,,
영통구,망포2동,50∼54세,-,1996,2091,,,
영통구,망포2동,55∼59세,-,1563,1581,,,
영통구,망포2동,60∼64세,-,922,1056,0,2177,2380
영통구,망포2동,65∼69세,-,444,491,,,
영통구,망포2동,70∼74 세,-,297,315,,,
영통구,망포2동,75∼79세,-,234,230,,,
영통구,망포2동,80∼84세,-,171,166,,,
영통구,망포2동,85세이상,-,109,122,,,
영통구,태장동,합계,52497,-,-,,,
영통구,태장동,0∼4세,3138,-,-,13616,0,0
영통구,태장동,5∼9세,3468,-,-,,,
영통구,태장동,10∼14세,3345,-,-,,,
영통구,태장동,15∼19세,3665,-,-,,,
영통구,태장동,20∼24세,3902,-,-,16546,0,0
영통구,태장동,25∼29세,3628,-,-,,,
영통구,태장동,30∼34세,3755,-,-,,,
영통구,태장동,35∼39세,5261,-,-,,,
영통구,태장동,40∼44세,4767,-,-,17791,0,0
영통구,태장동,45∼49세,5260,-,-,,,
영통구,태장동,50∼54세,4342,-,-,,,
영통구,태장동,55∼59세,3422,-,-,,,
영통구,태장동,60∼64세,1796,-,-,4544,0,0
영통구,태장동,65∼69세,957,-,-,,,
영통구,태장동,70∼74 세,635,-,-,,,
영통구,태장동,75∼79세,557,-,-,,,
영통구,태장동,80∼84세,346,-,-,,,
영통구,태장동,85세이상,253,-,-,,,
