"죄종별(1)",2018,2019,2020,2021
"죄종별(1)",발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"총계",96419,96714,92804,83699
"강력범죄",1492,1464,1320,1134
"절도범죄",8830,8917,8033,7462
"폭력범죄",18646,18043,16257,14265
