"죄종별(1)",2018,2019,2020,2021
"죄종별(1)",발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"총계",292519,297562,301422,273544
"강력범죄",4336,4316,4198,3971
"절도범죄",32281,33038,32764,29905
"폭력범죄",54026,55782,51832,45620
