"죄종별(1)","죄종별(2)","성별(1)",연령별(1),2018,2019,2020,2021
"강력범죄","강도","여자",미상,2,1,-,-
"강력범죄","강도","불상",계,11,13,19,11
"강력범죄","강간","계",계,5293,5310,5313,5263
"강력범죄","강간","남자",계,39,34,35,40
"강력범죄","강간","남자",6세이하,-,-,-,-
"강력범죄","강간","남자",12세이하,2,5,4,3
"강력범죄","강간","남자",15세이하,5,5,4,4
"강력범죄","강간","남자",20세이하,9,5,5,7
"강력범죄","강간","남자",30세이하,9,4,7,14
"강력범죄","강간","남자",40세이하,4,7,5,4
"강력범죄","강간","남자",50세이하,5,5,7,2
"강력범죄","강간","남자",60세이하,3,2,2,3
"강력범죄","강간","남자",60세초과,2,-,1,2
"강력범죄","강간","남자",미상,-,1,-,1
"강력범죄","강간","여자",계,5206,5245,5248,5175
"강력범죄","강간","여자",6세이하,4,1,3,4
"강력범죄","강간","여자",12세이하,143,145,155,166
"강력범죄","강간","여자",15세이하,319,346,394,638
"강력범죄","강간","여자",20세이하,1124,1104,1010,904
"강력범죄","강간","여자",30세이하,1737,1742,1887,1783
"강력범죄","강간","여자",40세이하,730,810,783,749
"강력범죄","강간","여자",50세이하,592,533,507,480
"강력범죄","강간","여자",60세이하,364,393,340,304
"강력범죄","강간","여자",60세초과,160,152,166,142
"강력범죄","강간","여자",미상,33,19,3,5
"강력범죄","강간","불상",계,48,31,30,48
"강력범죄","유사강간","계",계,776,782,823,814
"강력범죄","유사강간","남자",계,93,86,82,85
"강력범죄","유사강간","남자",6세이하,1,1,5,-
"강력범죄","유사강간","남자",12세이하,16,10,8,7
"강력범죄","유사강간","남자",15세이하,7,10,5,5
"강력범죄","유사강간","남자",20세이하,19,19,11,13
"강력범죄","유사강간","남자",30세이하,35,25,29,30
"강력범죄","유사강간","남자",40세이하,4,12,11,15
"강력범죄","유사강간","남자",50세이하,6,4,5,7
"강력범죄","유사강간","남자",60세이하,3,4,6,5
"강력범죄","유사강간","남자",60세초과,2,1,2,3
"강력범죄","유사강간","남자",미상,-,-,-,-
"강력범죄","유사강간","여자",계,669,686,739,724
"강력범죄","유사강간","여자",6세이하,-,14,7,5
"강력범죄","유사강간","여자",12세이하,45,34,49,52
"강력범죄","유사강간","여자",15세이하,35,57,60,50
"강력범죄","유사강간","여자",20세이하,157,161,166,134
"강력범죄","유사강간","여자",30세이하,244,209,263,301
"강력범죄","유사강간","여자",40세이하,76,83,77,95
"강력범죄","유사강간","여자",50세이하,46,62,48,40
"강력범죄","유사강간","여자",60세이하,37,51,39,29
"강력범죄","유사강간","여자",60세초과,26,14,29,18
"강력범죄","유사강간","여자",미상,3,1,1,-
